fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	parametro	iteracion
20220829 204417	binary	auc	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	186	TRUE	0.179719357536815	0.53684733012924	2010	312	0.777464751351638	1
20220829 204424	binary	auc	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	54	TRUE	0.157687266878347	0.482502345822286	967	612	0.787507653900062	2
20220829 204426	binary	auc	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	1	TRUE	0.211724839564995	0.336820019525476	3617	436	0.5	3
20220829 204507	binary	auc	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	651	TRUE	0.0468605295584712	0.835531927831471	1897	881	0.780173245554609	4
20220829 204522	binary	auc	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	182	TRUE	0.10352486513817	0.566186160757206	1567	365	0.784685645152421	5
20220829 204602	binary	auc	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	1017	TRUE	0.0665536217379849	0.29938059982378	2933	921	0.764203713064083	6
20220829 204611	binary	auc	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	50	TRUE	0.28221516174468	0.715339141280856	1369	821	0.784502599076801	7
20220829 204624	binary	auc	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	197	TRUE	0.203720109322021	0.441602025541943	2513	515	0.767543925389637	8
20220829 204633	binary	auc	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	52	TRUE	0.240012514177506	0.935077519738115	1100	139	0.789954519214476	9
20220829 204643	binary	auc	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	28	TRUE	0.149634784965456	0.998272647382692	237	729	0.787348558178252	10
