fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	parametro	iteracion
20220831 163239	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	515	TRUE	0.0418554162541113	0.566396352311131	1928	693	0.438047525576877	1
20220831 163244	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	30	TRUE	0.174665140224679	0.433993244438898	589	379	0.45761158467321	2
20220831 163258	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	187	TRUE	0.0761832736802171	0.460227704502177	1132	873	0.457680055918669	3
20220831 163300	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	1	TRUE	0.193724962047418	0.803494124975987	3705	144	0.170858849758277	4
20220831 163320	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	363	TRUE	0.165451851479156	0.648344479210209	2522	414	0.409806082203634	5
20220831 163354	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	468	TRUE	0.049348468149692	0.523543496616185	1729	491	0.445576315271132	6
20220831 163358	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	1	TRUE	0.0861520082694187	0.321834351588041	3467	620	0.170858849758277	7
20220831 163420	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	292	TRUE	0.215428300049825	0.856955489784013	2310	88	0.423297838497961	8
20220831 163428	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	33	TRUE	0.272537186690606	0.670528874965385	938	576	0.451722284451343	9
20220831 163430	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	1	TRUE	0.281970494220295	0.975617810490075	3828	909	0.170858849758277	10
20220831 163442	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	33	TRUE	0.145300780764956	0.218725562549662	265	773	0.448190145782097	11
