fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	extra_trees	early_stopping_rounds	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	parametro	iteracion
20220831 202651	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	66	TRUE	TRUE	55	0.194560023380618	0.581066173594445	297	350	0.450252610089884	1
20220831 202705	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	423	TRUE	TRUE	132	0.0489640224727918	0.459838705230504	1332	647	0.450909346776758	2
20220831 202714	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	267	TRUE	TRUE	76	0.107714056520781	0.403860220927163	1848	210	0.428009198236342	3
20220831 202722	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	217	TRUE	TRUE	51	0.2333030002749	0.762626424682094	1610	628	0.437653122952766	4
20220831 202727	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	117	TRUE	TRUE	52	0.224286307254661	0.35438147574605	1000	880	0.44988616839637	5
20220831 202732	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	93	TRUE	TRUE	50	0.248860210533603	0.50479003105429	1390	507	0.441118196744977	6
20220831 202741	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	117	TRUE	TRUE	80	0.0996980788257497	0.466870548477164	728	394	0.458269439428105	7
20220831 202752	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	274	TRUE	TRUE	63	0.148194599462586	0.26268149157986	1710	449	0.427782730310938	8
20220831 202913	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	471	TRUE	TRUE	69	0.126274626388185	0.716617051936919	36	977	0.446757760193724	9
20220831 202920	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	60	TRUE	TRUE	48	0.27605828553671	0.76022507440066	939	843	0.446911466232491	10
20220831 202947	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	390	TRUE	TRUE	195	0.0302523469927837	0.303847044808208	536	96	0.463168106716333	11
20220831 203045	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	336	TRUE	TRUE	266	0.0211364665876317	0.657396982540376	178	280	0.467921017490082	12
20220831 203102	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	240	TRUE	TRUE	61	0.159318146899168	0.633471532247495	1919	174	0.4261774174597	13
20220831 203117	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	117	TRUE	TRUE	56	0.189663908351504	0.226216012777877	447	691	0.450867852077601	14
20220831 203123	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	89	TRUE	TRUE	47	0.287503922837059	0.333624029022758	830	52	0.449972477049479	15
20220831 203150	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	270	TRUE	TRUE	94	0.077808645486366	0.554895102005685	1148	804	0.453677988293231	16
20220831 203254	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	896	TRUE	TRUE	528	0.0100360711263702	0.798677979956933	457	86	0.469721276350562	17
20220831 203406	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	1261	TRUE	TRUE	529	0.0100003979113953	0.708395926640176	527	405	0.467791923142198	18
20220831 203420	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	876	TRUE	TRUE	529	0.0100188697348993	0.73235184835688	264	10	0.472104020355328	19
20220831 203433	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	882	TRUE	TRUE	529	0.010018566569909	0.628491755792687	292	10	0.470263738902801	20
20220831 203444	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	785	TRUE	TRUE	525	0.0100814144133258	0.797231102426847	5	10	0.469602771459129	21
20220831 203457	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	860	TRUE	TRUE	523	0.0101259009914728	0.799584741270642	240	10	0.471905093784388	22
20220831 203503	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	301	TRUE	TRUE	216	0.0268168712107601	0.753387244880774	262	10	0.472802117099203	23
20220831 203507	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	170	TRUE	TRUE	153	0.0403861231272001	0.751676407940945	265	10	0.468396676618269	24
20220831 203534	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	419	TRUE	TRUE	277	0.0202037327850812	0.745884406793823	392	1000	0.469814946469846	25
20220831 203559	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	387	TRUE	TRUE	266	0.0211315258237438	0.799931866639842	314	156	0.470152603162459	26
20220831 203719	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	1391	TRUE	TRUE	526	0.0100751707598053	0.749082650287701	809	1000	0.458629805065981	27
20220831 203746	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	361	TRUE	TRUE	222	0.0259351999392698	0.74045455446962	310	709	0.466839945710195	28
20220831 203753	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	334	TRUE	TRUE	266	0.0211332852119895	0.743009404144356	235	10	0.469750086294031	29
20220831 203903	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	774	TRUE	TRUE	526	0.0100604503895878	0.764017962362925	265	987	0.470238306210463	30
20220831 203922	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	238	TRUE	TRUE	201	0.0291489298264948	0.798154080177548	272	59	0.469430595150887	31
20220831 204023	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	835	TRUE	TRUE	525	0.0100981907480676	0.784865552955575	343	580	0.47090436220833	32
20220831 204031	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	442	TRUE	TRUE	222	0.0259419091585883	0.729014869588011	402	10	0.471588947608584	33
20220831 204144	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	416	TRUE	TRUE	529	0.0100110108583681	0.747005843530341	72	572	0.46475023570999	34
20220831 204149	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	411	TRUE	TRUE	218	0.0264812301692434	0.384826422653572	270	10	0.465277583073298	35
20220831 204252	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	864	TRUE	TRUE	508	0.0104575214049918	0.762046032986754	292	196	0.471481699725777	36
20220831 204307	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	998	TRUE	TRUE	524	0.0101162897571985	0.71233942413232	422	917	0.469390021396092	37
20220831 204312	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	210	TRUE	TRUE	218	0.0265168184184381	0.756983861438297	21	10	0.469302293597771	38
20220831 204315	binary	average_precision	TRUE	TRUE	FALSE	-100	102191	-1	0	0	0	31	173	TRUE	TRUE	127	0.051487214321726	0.620568447213637	259	10	0.471504539079802	39
