fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	ganancia	experimento	cols	rows	iteracion
20220904 185558	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	111	TRUE	0.226358426652732	0.65154881059425	389	1727	126.7	covid_01a	53	8311	1
20220904 185607	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	168	TRUE	0.182397002030048	0.775803677018848	1522	1402	128.7	covid_01a	53	8311	2
20220904 185615	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	248	TRUE	0.150331452227547	0.343591791363724	703	2110	127.7	covid_01a	53	8311	3
20220904 185627	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	171	TRUE	0.112883016553824	0.234474161626713	815	1116	129.1	covid_01a	53	8311	4
20220904 185637	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	140	TRUE	0.161823314966168	0.955733086972032	1612	725	129.7	covid_01a	53	8311	5
20220904 185646	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	288	TRUE	0.241383156417287	0.749517612537602	1845	2358	127.4	covid_01a	53	8311	6
20220904 185650	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	31	TRUE	0.101198378789122	0.276977391626861	1147	3247	108.2	covid_01a	53	8311	7
20220904 185702	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	157	TRUE	0.0858551470149541	0.713929986476433	60	444	129.5	covid_01a	53	8311	8
20220904 185704	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1	TRUE	0.253931884660851	0.408657931012567	1782	3955	80.8	covid_01a	53	8311	9
20220904 185709	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	95	TRUE	0.127072048666887	0.602549034383264	520	1784	127	covid_01a	53	8311	10
20220904 185711	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1	TRUE	0.265518288289895	0.138638585577428	392	3700	80.8	covid_01a	53	8311	11
20220904 185730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	77	TRUE	0.0693619803886395	0.933956580444647	1202	190	128.6	covid_01a	53	8311	12
20220904 185745	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	427	TRUE	0.040944574062014	0.541000015393365	2043	2664	124.8	covid_01a	53	8311	13
20220904 185747	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1	TRUE	0.296113686527242	0.832001103796938	970	3444	80.8	covid_01a	53	8311	14
20220904 185814	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	941	TRUE	0.0360953437368153	0.158771649678238	240	2785	124.7	covid_01a	53	8311	15
20220904 185822	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	90	TRUE	0.203416119680041	0.47588620964234	1312	888	129	covid_01a	53	8311	16
20220904 185936	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1105	TRUE	0.0200133877907117	0.102304029954482	1993	552	130.1	covid_01a	53	8311	17
20220904 185943	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	128	TRUE	0.222169546242664	0.10056722017749	2048	1858	127.4	covid_01a	53	8311	18
