Feature	Gain	Cover	Frequency
saturacion	0.21824726393962	0.108389272126221	0.101990049751244
edad	0.160563807019206	0.0849460115642701	0.0721393034825871
rf_002_002	0.0719527334321755	0.014870783154468	0.0111940298507463
ldh	0.0658454826692325	0.0587915759186268	0.0597014925373134
progr_imagerad_perc	0.0514096276612117	0.0707061307877681	0.0721393034825871
severidad_ins	0.0432710473962763	0.00357884854713413	0.00248756218905473
sat_aire_ambiente	0.0424992713858703	0.041833212308881	0.0261194029850746
frecuencia_respiratoria	0.0350611809073958	0.0428321816726026	0.0335820895522388
hipertension	0.0322044381225969	0.0145390113248195	0.0186567164179104
fini_sintomas	0.0297976345191985	0.0736170510258741	0.0945273631840796
ldh_sat	0.0250006313650901	0.0380677725565261	0.0435323383084577
obesidad	0.0243813461805433	0.0348701449443405	0.0385572139303483
antibioticos	0.0214342976338005	0.019082482812782	0.0174129353233831
fdiag_covid	0.0189331580092417	0.0513781075900479	0.0597014925373134
temperatura	0.0156097552919313	0.0442452568442555	0.0435323383084577
altura	0.0145039803818328	0.0337152769235154	0.0522388059701493
rf_003_002	0.0144915384178086	0.0104001455703711	0.0124378109452736
rf_001_001	0.0140978669822475	0.00202449021748106	0.00124378109452736
frecuencia_cardiaca	0.01304603873055	0.0385471609271196	0.0373134328358209
imc	0.0123388731611401	0.0391137551090304	0.0385572139303483
rf_003_001	0.0104443068058855	0.00555559480087722	0.00746268656716418
oxigeno_supl	0.00940085436297731	0.0219325051379569	0.0149253731343284
peso	0.00932530495580132	0.021015138977563	0.0199004975124378
sexo	0.007862478155581	0.0238517637618931	0.0248756218905473
enf_otras	0.00620872264655581	0.0132983990425874	0.0111940298507463
progr_image_rad	0.00602395840844835	0.00403704444402763	0.00497512437810945
rf_001_002	0.00591831972591197	0.00972661465335325	0.013681592039801
finternacion	0.00588886149261248	0.0164390262082694	0.0174129353233831
metodo_diag	0.00368809371212878	0.0142800733990365	0.0099502487562189
otra_medicacion	0.00330179471450632	0.0132141163310907	0.0161691542288557
rf_002_001	0.00219538992524892	0.00404898043496213	0.00248756218905473
heparina	0.00160782921748504	0.00344609109694436	0.00248756218905473
diabetes	0.00131391986155733	0.0111111896017544	0.00746268656716418
embarazo	0.0010544066588311	0.00418734049314156	0.00373134328358209
enf_coronaria	0.000920500750932248	0.00678329672556794	0.00497512437810945
enf_pulmonr	0.000155285398567026	0.00152415296483925	0.00124378109452736
