Feature	Gain	Cover	Frequency	pos
edad	0.0508422850612401	0.0318614168490081	0.0214467829825526	1
saturacion	0.0491912608579373	0.0326312684673047	0.0217967304904264	2
ldh	0.0484695686133497	0.0308036461324001	0.025496175573664	3
severidad_ins_rank	0.0206523227942754	0.013966660463273	0.0123481477778333	4
edad_rank	0.0197638439783025	0.00895391819447929	0.00729890516422537	5
saturacion_rank	0.0195047966575506	0.00548032256639682	0.00594910763385492	6
frecuencia_respiratoria	0.0180468143773008	0.0173954501228666	0.015097735339699	7
paciente_id	0.0155115842108781	0.0121925110898748	0.0117982302654602	8
sat_aire_ambiente	0.0141878621059102	0.0114193994099845	0.00809878518222267	9
sat_aire_ambiente_rank	0.0133575788983012	0.00791125508037861	0.00859871019347098	10
canarito54	0.0126079774935948	0.0115075801004091	0.0110983352497125	11
canarito57	0.0121312965739523	0.0107489796702957	0.013048042793581	12
antibioticos_rank	0.010929709194564	0.0114597526114187	0.0110483427485877	13
progr_imagerad_perc	0.0104011043476536	0.00799351200034636	0.0057491376293556	14
canarito5	0.0103741342989985	0.00639870577145004	0.00779883017547368	15
canarito20	0.0101946936942268	0.0137273639909261	0.0126481027845823	16
canarito26	0.0101052492156587	0.00715782304059663	0.00889866520021997	17
plasma_conv_rank	0.00999011862703125	0.0112098808173165	0.0119982002699595	18
durac_finis_finter_rank	0.00996214273807009	0.0101402625597948	0.00884867269909514	19
frecuencia_respiratoria_rank	0.00980116505109873	0.00905561621346311	0.00789881517772334	20
imc	0.0097439031863824	0.00783074746175381	0.00749887516872469	21
canarito38	0.0091341880693756	0.0107466340162221	0.0101984702294656	22
corticoides_rank	0.00910997803850187	0.0133887946673662	0.0120481927710843	23
temperatura	0.00903176505854188	0.00656878557020406	0.00664900264960256	24
canarito50	0.00902508334180928	0.0119433549190493	0.00954856771484277	25
canarito55	0.00890111944969802	0.0106019986006384	0.0105484177373394	26
vni_rank	0.00879119181439419	0.0118269468660451	0.0108483727440884	27
enf_otras_rank	0.00876115852678242	0.00741473179691931	0.00744888266759986	28
imc_rank	0.00870816627230635	0.00400283879802483	0.00464930260460931	29
enf_hepatica_rank	0.00862338151395299	0.00989345204304283	0.0102984552317152	30
progr_image_rad_rank	0.00859235326713064	0.0042243242021526	0.00569914512823077	31
canarito45	0.0085728952113307	0.009653598974814	0.0103984402339649	32
canarito7	0.00835144720228184	0.00798452695253935	0.00914862770584412	33
canarito63	0.00823621002634973	0.00691351720531299	0.00959856021596761	34
canarito8	0.00804748870006681	0.00843457447986413	0.00979853022046693	35
canarito65	0.00803116462570097	0.00741413544418876	0.00909863520471929	36
canarito21	0.00789808070073874	0.00934492680147923	0.00969854521821727	37
canarito3	0.00782977365609972	0.0120557077734857	0.0120481927710843	38
canarito44	0.0076976672737455	0.00964640298519864	0.0100484927260911	39
canarito42	0.00763377275553764	0.00874678501273352	0.00929860520921862	40
canarito60	0.00763247127167421	0.0108975907707497	0.0101984702294656	41
durac_finis_finter	0.00762044540549525	0.00422996967466851	0.00429935509673549	42
canarito56	0.0074814997017024	0.00637779366903195	0.00739889016647503	43
canarito28	0.00739470533047564	0.00809902667680572	0.0089486577013448	44
canarito11	0.00719697964086233	0.00612394619005944	0.00644903264510323	45
canarito9	0.00719671817878554	0.00708872563754977	0.0071989201619757	46
canarito35	0.00710172990446178	0.0135874993971868	0.00984852272159176	47
canarito33	0.00704062854317997	0.00643273763394033	0.00744888266759986	48
enf_coronaria_rank	0.00680792344636719	0.00855034642328902	0.00934859771034345	49
canarito16	0.0067886299806579	0.00772710135718352	0.0081487776833475	50
uti_rank	0.00674157520888736	0.00408541377278221	0.00534919762035695	51
canarito27	0.00663773497515804	0.0144434245929266	0.011248312753087	52
canarito23	0.00656920867966995	0.00900440939233287	0.00789881517772334	53
vni	0.00638548310399503	0.00033204920037249	0.000199970004499325	54
canarito36	0.00632758734924397	0.00787861470759295	0.00759886017097435	55
canarito4	0.0062310543599286	0.00442795878121246	0.00589911513273009	56
canarito64	0.00608228143125129	0.0065660025907948	0.00729890516422537	57
canarito31	0.00608063587711461	0.0120358691059826	0.0097485377193421	58
enf_renal_rank	0.00606737435789342	0.00783961323901472	0.00739889016647503	59
obesidad_rank	0.00605128211727861	0.0059479823776973	0.00634904764285357	60
frecuencia_cardiaca_rank	0.0060398761045915	0.00617737939471709	0.0055991601259811	61
progr_imagerad_perc_rank	0.00601172399105309	0.00583268751645685	0.0073488976653502	62
canarito25	0.00582553806143193	0.00660742922714396	0.00784882267659851	63
canarito30	0.00582015876173378	0.00780562113337314	0.00859871019347098	64
antic_monoclonales_rank	0.00557791576920885	0.00941116171141943	0.00834874768784682	65
metodo_diag_rank	0.00556958920622281	0.0040267326640957	0.00524921261810728	66
canarito6	0.00555420279690785	0.00658492685077772	0.00739889016647503	67
frecuencia_cardiaca	0.00550324522721104	0.007099022661364	0.00789881517772334	68
canarito2	0.00543054835933888	0.00429517090654242	0.0057491376293556	69
canarito37	0.00542374064695701	0.0081550043197804	0.00904864270359446	70
canarito58	0.0054181933917224	0.0078029971813587	0.00749887516872469	71
cancer_rank	0.00536897321007881	0.00420082790456877	0.00609908513722942	72
canarito34	0.00534550399034415	0.00582421930768298	0.00664900264960256	73
canarito18	0.00531587852311804	0.00860381938479537	0.00939859021146828	74
canarito47	0.00527264687823991	0.010467660208869	0.00834874768784682	75
canarito32	0.00522416100834638	0.00528603084678231	0.00604909263610459	76
finternacion_rank	0.00521039888420091	0.00326387825117097	0.00404939259111133	77
enf_pulmonr_rank	0.00500150197972256	0.00532757675367758	0.00609908513722942	78
canarito53	0.00498594834594743	0.00610442557734598	0.00659901014847773	79
canarito62	0.00491008754203656	0.00577181978109164	0.00674898765185222	80
igg_rank	0.00490497510476915	0.00494372437944429	0.00664900264960256	81
durac_fdiag_finter_rank	0.00487427353913388	0.00943549290282603	0.00809878518222267	82
ig_total_rank	0.00477286139134138	0.00703668392259676	0.00709893515972604	83
hipertension_rank	0.00459879523883164	0.00767744505315272	0.00744888266759986	84
canarito43	0.00458734950850681	0.00681845858006268	0.00709893515972604	85
temperatura_rank	0.00457344242954688	0.0028757718941264	0.00314952757086437	86
canarito24	0.00454494042637528	0.00422014973303873	0.00544918262260661	87
canarito41	0.00450174830733064	0.00595366760706191	0.00684897265410188	88
canarito1	0.00449172005065649	0.0048577303156984	0.00599910013497975	89
canarito39	0.00447531726234141	0.00597613022657945	0.00704894265860121	90
canarito29	0.0044538096002358	0.00462233001452437	0.00609908513722942	91
oxigeno_supl_rank	0.00443558992110707	0.00495378286216631	0.00614907763835425	92
canarito19	0.00440865571664863	0.00309518994212158	0.00379943008548718	93
durac_fdiag_finis_rank	0.00436545823845709	0.00568821112826796	0.00609908513722942	94
fdiag_covid_rank	0.004361869198914	0.00899021619734568	0.00724891266310054	95
neumonia_rank	0.00429050926727463	0.00833728947108641	0.0073488976653502	96
hipertension	0.00427510702017292	0.000753074228143643	0.000999850022496626	97
canarito51	0.00421403503423255	0.00467186704800906	0.0055991601259811	98
otra_medicacion_rank	0.00418881708428049	0.00820291132246824	0.0071989201619757	99
canarito15	0.00413383297965037	0.0042419364861283	0.00519922011698245	100
antibioticos	0.0041181778688764	0.00118622509476939	0.00209968504724291	101
canarito46	0.00406816275906585	0.00467584273287942	0.00584912263160526	102
igm_rank	0.00403849761734559	0.00586703743373676	0.00624906264060391	103
canarito61	0.00401236041410695	0.00559641256461134	0.00579913013048043	104
canarito59	0.00395471776542923	0.00845198797959631	0.00754886766984952	105
fini_sintomas_rank	0.00390067650584751	0.00450985788954188	0.00459931010348448	106
peso_rank	0.00388911846653909	0.00366892102576327	0.00389941508773684	107
canarito22	0.00383878322336565	0.0056202269169848	0.00619907013947908	108
peso	0.00382431596875557	0.00477694439913268	0.00439934009898515	109
canarito17	0.00382185733318873	0.0055473923701598	0.00609908513722942	110
canarito48	0.00376151206314137	0.00445010334594036	0.00584912263160526	111
inotropicos_rank	0.00370156574524771	0.00467290072607535	0.00569914512823077	112
sexo_rank	0.00369464429260121	0.00455037011837085	0.00504924261360796	113
canarito12	0.00365821997568588	0.00336919414338681	0.00404939259111133	114
arm_rank	0.00365458841529919	0.00600328415424401	0.00659901014847773	115
canarito14	0.00363160306486104	0.00396089532264253	0.00534919762035695	116
metodo_diag	0.00354142631996669	0.00141645700561196	0.00184972254161876	117
canarito10	0.00352991383247247	0.00599258956194274	0.00599910013497975	118
embarazo_rank	0.00335964937452334	0.00401186360268055	0.00474928760685897	119
canarito52	0.00327289963472972	0.00355263224330524	0.0047992801079838	120
altura_rank	0.00319933615435036	0.00397993885317156	0.0049492576113583	121
diabetes_rank	0.0031319779412222	0.00417824601450513	0.00519922011698245	122
ldh_rank	0.00306919218166558	0.0064401721646479	0.0057491376293556	123
fini_sintomas	0.00305249203866436	0.00294220558831012	0.00359946008098785	124
foto_mes_rank	0.00301130429512095	0.00101602602546927	0.00124981252812078	125
mes_rank	0.00295203823677738	0.00643746869893606	0.00529920511923212	126
canarito13	0.00291793706851043	0.0030854495141892	0.00404939259111133	127
finternacion	0.0027962847108042	0.00200052486991659	0.0023996400539919	128
heparina_rank	0.00265667370774031	0.00596261289802022	0.0063990401439784	129
canarito49	0.00261242022719178	0.00513964612985565	0.00469929510573414	130
canarito40	0.00239432031469802	0.00518147033469184	0.00539919012148178	131
diabetes	0.00206339429101401	0.00445117678085536	0.0031995200719892	132
canarito66	0.00199357847105435	0.00205825181423422	0.00294955756636505	133
altura	0.00156940627584035	0.00201030505469767	0.00204969254611808	134
durac_fdiag_finter	0.00137673536392046	0.00137662064321095	0.00184972254161876	135
enf_otras	0.00130880824847782	0.00194593871664654	0.00154976753486977	136
fdiag_covid	0.00119278414489812	0.00206206847170976	0.00234964755286707	137
durac_fdiag_finis	0.00097987744482962	0.000719917016324838	0.000999850022496626	138
progr_image_rad	0.000830814809361206	0.000553335820256743	0.000599910013497975	139
mes	0.00074881086115064	9.71259813829014e-05	0.000149977503374494	140
heparina	0.000178618605593467	0.00108059114776392	0.000749887516872469	141
obesidad	0.000157747374151689	0.000100783611463633	0.000149977503374494	142
enf_coronaria	8.51008998555941e-05	0.000804320806122587	0.000499925011248313	143
embarazo	2.46934913196552e-06	0.000166024600186245	9.99850022496626e-05	144
