Feature	Gain	Cover	Frequency	pos
edad	0.0341593083127883	0.0196488122417457	0.0145761651548327	1
rf_021_007	0.0232511621148862	0.0106133198557971	0.00669377541445105	2
ldh	0.0191959134801187	0.0122918066345232	0.0134501094776353	3
rf_022_015	0.0173011844397864	0.0065997578131271	0.00462934000625587	4
paciente_id	0.0159639721160914	0.0133659057517007	0.0128870816390366	5
rf_011_005	0.0156238141547319	0.00223547148642757	0.00168908351579606	6
rf_047_007	0.0144649433212956	0.000336810461544042	0.000250234594932749	7
saturacion	0.0131975901526807	0.00888421555044305	0.00688145136065061	8
rf_036_009	0.0121945724194231	0.00777264506995126	0.00506725054738818	9
canarito103	0.0120180659294364	0.011495696094865	0.00963403190491085	10
foto_mes_rank_rank	0.0104381249882905	0.0155883270322109	0.0128870816390366	11
enf_otras	0.0103915177514388	0.00391971570894068	0.00287769784172662	12
canarito67	0.0100766840407252	0.0104421798392263	0.00982170785111042	13
canarito21	0.00942351083267518	0.0066461532143113	0.00688145136065061	14
canarito101	0.00932582539755411	0.00690442254685996	0.00807006568658117	15
imc	0.00922137099166717	0.00730058265810912	0.00832030028151392	16
canarito87	0.00919280820543554	0.00964678898004149	0.00957147325617767	17
canarito69	0.00915474430799903	0.0111646910558063	0.00944635595871129	18
antibioticos	0.00913990773820241	0.00246241072903488	0.00306537378792618	19
severidad_ins_rank	0.00866445941990281	0.00314063760715263	0.00450422270878949	20
durac_finis_finter	0.0085214813122979	0.00865305418239189	0.00750703784798248	21
sexo_rank	0.0083578360627219	0.00652227221549268	0.00669377541445105	22
canarito65	0.00809255117783823	0.0109232142676366	0.00919612136377854	23
rf_006_014	0.0076414335996766	0.00231305304145844	0.00143884892086331	24
canarito59	0.00760347727269472	0.00908457459423335	0.00863309352517986	25
rf_014_009	0.00759677789263972	0.000379607460361319	0.000250234594932749	26
inotropicos_rank	0.00735655261763948	0.0045161389065837	0.00519236784485455	27
corticoides_rank	0.00731645648611539	0.00526062436695106	0.00638098217078511	28
canarito93	0.00731315849017226	0.0108788819504761	0.00963403190491085	29
canarito81	0.00718325312167119	0.00819313038120083	0.00838285893024711	30
progr_image_rad	0.00699840354625323	0.000822067015398235	0.000813262433531436	31
fini_sintomas	0.00698831870534734	0.00542360800482359	0.00606818892711917	32
canarito73	0.00695368629651194	0.00611718806637354	0.00650609946825149	33
canarito39	0.00691639016334072	0.00319682066277486	0.00425398811385674	34
vni_rank	0.00675182221255497	0.00542883768293018	0.00550516108852049	35
canarito62	0.00672784327761846	0.00564354235748995	0.00650609946825149	36
canarito99	0.00650364625684671	0.0099781298699878	0.00819518298404755	37
sat_aire_ambiente_rank	0.00644860327698232	0.00945895237648808	0.00781983109164842	38
uti_rank	0.00641080994502269	0.00923498781317076	0.0074444791992493	39
canarito71	0.0063749093668434	0.00394308133497657	0.00481701595245543	40
heparina_rank	0.00636383363168918	0.00713318497999984	0.00807006568658117	41
canarito41	0.00632229801854926	0.00319322226040794	0.00375351892399124	42
canarito1	0.00611550918231457	0.00738492920958981	0.00681889271191742	43
durac_finis_finter_rank	0.00608313676917543	0.00469764232197132	0.00469189865498905	44
canarito18	0.00608208005489686	0.00587964553145836	0.0059430716296528	45
canarito61	0.00603351902723802	0.00570361168766846	0.00569283703472005	46
canarito83	0.00594770143531128	0.00975459711495451	0.00813262433531436	47
canarito46	0.00589469873551788	0.00621424897288402	0.00706912730685017	48
antibioticos_rank	0.00577667184958474	0.00593189433382609	0.00581795433218642	49
rf_006_013	0.00577181842112275	0.00251235655388778	0.00168908351579606	50
canarito77	0.00575021063720385	0.0043199060308408	0.00631842352205192	51
ig_total_rank	0.00574754247981037	0.00540763109831445	0.00581795433218642	52
canarito55	0.00573372163401169	0.00515104102020369	0.00556771973725368	53
ldh_rank	0.00567194105589105	0.00530836317168558	0.0049421332499218	54
canarito53	0.00555096446137445	0.0072876284095882	0.00706912730685017	55
canarito25	0.00548746741421312	0.00905137333506121	0.00825774163278073	56
diabetes_rank	0.0054765957282202	0.00601657673619436	0.00713168595558336	57
canarito12	0.00541887981336832	0.00652807763797798	0.0074444791992493	58
canarito37	0.00539829003242726	0.00592057136104484	0.0069440100093838	59
rf_002_004	0.00533295588114089	0.00756005145811342	0.0049421332499218	60
canarito104	0.00525845678940429	0.00858487645221324	0.00713168595558336	61
canarito85	0.00525838568038502	0.00572736114329016	0.00606818892711917	62
enf_hepatica_rank	0.00516901369370928	0.00662792130898555	0.00663121676571786	63
progr_imagerad_perc_rank	0.0051622245275022	0.00579165259891252	0.00656865811698467	64
canarito22	0.00514505656052558	0.00589250382258283	0.00656865811698467	65
rf_050_004	0.00505869471843457	0.000352979282846085	0.000312793243665937	66
canarito7	0.0050194816225497	0.00755055167586474	0.0079449483891148	67
progr_image_rad_rank	0.00496897598482931	0.00375865121899718	0.00481701595245543	68
canarito63	0.00487809551656111	0.00353449474088696	0.0049421332499218	69
canarito95	0.00485065304586651	0.00879727814925818	0.00850797622771348	70
canarito90	0.0048449170193625	0.00817293134924783	0.00706912730685017	71
rf_009_001	0.00477136071868179	0.000203429680476743	0.000125117297466375	72
metodo_diag_rank	0.00473720632032689	0.00853219584156148	0.00838285893024711	73
canarito50	0.00473366055231216	0.00898319560488256	0.0079449483891148	74
canarito40	0.00467267035523995	0.00573393422494707	0.00656865811698467	75
canarito58	0.00461408514195886	0.00388411551485725	0.00462934000625587	76
altura	0.00459513339513414	0.00506746212789461	0.00519236784485455	77
canarito78	0.00452652022084437	0.00327205126159267	0.00406631216765718	78
canarito28	0.00451787867493914	0.00542677459890648	0.00625586487331874	79
canarito47	0.00451018168793855	0.00818972389362681	0.0074444791992493	80
igg_rank	0.00449536486288	0.00411940305095582	0.00462934000625587	81
canarito11	0.00444572231850432	0.00282987957874511	0.00425398811385674	82
canarito74	0.00441653760372146	0.00518932802138775	0.00538004379105411	83
canarito88	0.00441607194188246	0.004222989060425	0.00550516108852049	84
canarito96	0.00440276952475802	0.00258000651838594	0.00381607757272443	85
canarito92	0.00435520761113836	0.00318804056099957	0.00525492649358774	86
frecuencia_cardiaca	0.00435489574972249	0.00306689434797981	0.00325304973412574	87
durac_fdiag_finis_rank	0.00433603254583396	0.00436543781545694	0.00450422270878949	88
canarito38	0.0043152612794753	0.00362330331130263	0.00431654676258993	89
canarito48	0.00430918923860818	0.00365880754798961	0.00525492649358774	90
canarito29	0.00428022394535888	0.00602036705335418	0.00600563027838599	91
canarito44	0.00427028383627861	0.00618051994803139	0.00556771973725368	92
canarito49	0.00424155899306603	0.00674273433383952	0.00569283703472005	93
frecuencia_cardiaca_rank	0.00416865767263202	0.00361716203792975	0.00356584297779168	94
canarito3	0.00416574758607926	0.00467715541782897	0.00569283703472005	95
canarito45	0.0041291238588035	0.00282656904856754	0.00375351892399124	96
canarito76	0.00408402465196147	0.00534223613263289	0.0054426024397873	97
canarito17	0.00406342567752078	0.00452616645451286	0.00450422270878949	98
progr_imagerad_perc	0.00406148612476361	0.00234428717400334	0.00231467000312793	99
canarito97	0.00403008968231254	0.00394288942018367	0.00469189865498905	100
rf_009_007	0.00400811613023477	0.00729352978946995	0.00487957460118862	101
canarito79	0.00396894837848092	0.00311731995981496	0.0039411948701908	102
rf_040_003	0.00394359935323585	0.000305144520715115	0.000187675946199562	103
canarito15	0.00394285229642249	0.0045756324923835	0.00512980919612136	104
canarito13	0.00393259542316634	0.00441154534445179	0.00462934000625587	105
canarito52	0.00386466427944784	0.00457577642847818	0.00512980919612136	106
canarito30	0.00384894642721554	0.00447099095155337	0.00575539568345324	107
canarito10	0.00384451345178683	0.00444680968764764	0.00506725054738818	108
rf_019_010	0.00384109600218389	0.00117240746984191	0.00093837973099781	109
neumonia_rank	0.00380769958513582	0.0036574641444393	0.00556771973725368	110
canarito89	0.00378498292464695	0.00302827149590816	0.00387863622145762	111
edad_rank	0.0037778129177178	0.00495648739889869	0.00431654676258993	112
canarito31	0.00376532730362954	0.00987344035045944	0.00731936190178292	113
otra_medicacion_rank	0.00376256899980294	0.00244096425092802	0.00344072568032531	114
hipertension_rank	0.00374407344319047	0.00235944844264264	0.00362840162652487	115
canarito57	0.00374185430909048	0.00362565426751569	0.00563027838598686	116
oxigeno_supl_rank	0.00372848062888617	0.00308258338229959	0.00387863622145762	117
canarito86	0.0036970476601298	0.00448154626516301	0.00563027838598686	118
canarito33	0.00368925289376929	0.00372832868171858	0.00456678135752268	119
canarito94	0.00355045603843646	0.00504975798824935	0.00512980919612136	120
canarito2	0.0035469465738823	0.00244173191009963	0.00356584297779168	121
mes_rank	0.00353081932628047	0.00306516711484368	0.00469189865498905	122
canarito8	0.00346072836544581	0.00834416732321517	0.00675633406318424	123
canarito16	0.0034596477306083	0.00552949699180759	0.00575539568345324	124
peso_rank	0.00341938224227808	0.00294488451839199	0.00406631216765718	125
canarito80	0.00339210873591548	0.00450543965687938	0.00538004379105411	126
canarito100	0.00337973209927782	0.00280301150773875	0.0039411948701908	127
canarito20	0.00331203791203099	0.00456977909119997	0.0054426024397873	128
igm_rank	0.00323593852412186	0.00277067386513466	0.00400375351892399	129
canarito26	0.00322480282504361	0.00680832121431398	0.00613074757585236	130
frecuencia_respiratoria	0.00321658534540524	0.00820368569481048	0.00650609946825149	131
canarito32	0.00319952169606264	0.004184078336164	0.00400375351892399	132
canarito84	0.00315073995844331	0.00315882153378015	0.00369096027525805	133
canarito54	0.00314070957732413	0.00579913727583573	0.00575539568345324	134
finternacion	0.00312135038201967	0.00188042911955778	0.00237722865186112	135
canarito105	0.00310500231785075	0.00555199900127542	0.00556771973725368	136
canarito75	0.00300991091295854	0.0069338814675705	0.00569283703472005	137
temperatura_rank	0.002982723757368	0.00431357284267502	0.00487957460118862	138
canarito14	0.00297739628934535	0.00286682317637886	0.00369096027525805	139
canarito70	0.00297092609482716	0.00227231912666487	0.00319049108539256	140
rf_007_009	0.00297010739327878	0.00387605509355534	0.00243978730059431	141
canarito60	0.00296075486985663	0.00306655849709223	0.00400375351892399	142
enf_renal_rank	0.00295245756474629	0.00266406519767727	0.00356584297779168	143
temperatura	0.00295104850576827	0.00224017339885368	0.00337816703159212	144
canarito64	0.00293165948647658	0.00437076345095999	0.00462934000625587	145
embarazo_rank	0.00288317979067963	0.0021354359006271	0.00287769784172662	146
durac_fdiag_finter_rank	0.00281516747632852	0.00173726068405245	0.00225211135439475	147
rf_004_011	0.00280152915500991	0.0032775208331904	0.00212699405692837	148
canarito82	0.00279993842348102	0.00465614074800614	0.0049421332499218	149
fini_sintomas_rank	0.0027990991974799	0.00420063098705185	0.00431654676258993	150
canarito5	0.00275625820379618	0.00220284597163413	0.00306537378792618	151
canarito56	0.00271950018061867	0.00274346994324072	0.00344072568032531	152
canarito6	0.00271745722597111	0.00610740041193551	0.0059430716296528	153
arm_rank	0.00269086908638574	0.0064686320308764	0.00563027838598686	154
canarito23	0.00269025314583561	0.00248342539885771	0.00331560838285893	155
cancer_rank	0.00269013478418974	0.00225197615861719	0.00300281513919299	156
plasma_conv_rank	0.00265190251509058	0.00260682661069408	0.00350328432905849	157
saturacion_rank	0.00262057343798164	0.00472834868883574	0.00400375351892399	158
canarito98	0.00260120995044225	0.00321121427224255	0.00406631216765718	159
