Feature	Gain	Cover	Frequency	pos
rf_034_011	0.0407787931980369	0.00256748555405595	0.00199697754749568	1
ldh	0.0276805091056425	0.0131865109223071	0.0138708981001727	2
rf_019_005	0.0220608761320182	0.000710615534536731	0.000431778929188256	3
saturacion	0.0192634581335685	0.0127279502468186	0.0104166666666667	4
edad	0.0159451211842267	0.00727745843912726	0.00572107081174439	5
vni_rank	0.0147165515923003	0.015002416244227	0.0118199481865285	6
rf_050_005	0.0145198925760098	0.000266480825451274	0.000161917098445596	7
sexo_rank	0.0136886803505001	0.0136835969191519	0.0133311744386874	8
edad_rank	0.0123374732397081	0.0059218802375616	0.00555915371329879	9
paciente_id	0.0120343505239068	0.00983956054216399	0.00955310880829015	10
rf_028_010	0.0109984939881301	0.00384866278020757	0.00237478411053541	11
rf_050_012	0.0102037319341615	0.00308627358782196	0.00248272884283247	12
canarito4	0.0101361041896617	0.0149245244372927	0.0116040587219344	13
canarito77	0.00993753776526168	0.0102321739426671	0.00993091537132988	14
canarito83	0.00959751469780312	0.00988721249532628	0.0103626943005181	15
canarito42	0.00927580970025365	0.0170801759883785	0.0134391191709845	16
frecuencia_respiratoria	0.00913601714468397	0.00396474344280946	0.00474956822107081	17
canarito17	0.00892536807089776	0.00838998223881746	0.00814982728842833	18
progr_imagerad_perc_rank	0.00843747328364373	0.0107580698141069	0.00982297063903281	19
enf_renal_rank	0.00830416344979991	0.00982639632209356	0.00831174438687392	20
antibioticos_rank	0.00801775776101922	0.00668313385824785	0.00734024179620035	21
finternacion	0.00794643768616358	0.00370558074608743	0.00399395509499136	22
canarito48	0.00794060429998281	0.00591628649548694	0.00647668393782383	23
severidad_ins_rank	0.00771370330672899	0.00566591396488223	0.00615284974093264	24
canarito99	0.00745524539038371	0.00640033444689457	0.00690846286701209	25
durac_finis_finter_rank	0.00742045739019863	0.00658198386058208	0.00609887737478411	26
uti_rank	0.00731366833925848	0.00583099244340122	0.00631476683937824	27
canarito86	0.00731067894013733	0.00947722905364399	0.0077720207253886	28
canarito67	0.00715842120104538	0.00554331427956177	0.00669257340241796	29
peso	0.0071389943826958	0.00743971901750337	0.00696243523316062	30
canarito104	0.00713209605386194	0.00976314077261775	0.00847366148531952	31
canarito100	0.00700484622147875	0.0106629761988378	0.00804188255613126	32
canarito50	0.0068773717788416	0.00397651974191399	0.00561312607944732	33
temperatura_rank	0.00684159022566468	0.00383709677215847	0.0040479274611399	34
canarito43	0.00674533206381791	0.0078155511917825	0.00901338514680484	35
sat_aire_ambiente	0.00665387589815374	0.0122857922736543	0.00804188255613126	36
canarito8	0.00664072521765567	0.00942583391969489	0.00874352331606218	37
frecuencia_respiratoria_rank	0.00654578662379986	0.00330232661817916	0.00367012089810017	38
progr_imagerad_perc	0.00654203254876033	0.00336739067073173	0.00280656303972366	39
canarito21	0.00648963180684004	0.00954019019564218	0.00868955094991365	40
