Feature	Gain	Cover	Frequency	pos
rf_024_008	0.0251696759017605	0.000187888426973434	0.000113524559146295	1
ldh	0.0213127916679376	0.0158590130941068	0.0136986301369863	2
rf_020_005	0.0169462430696398	0.000250517902631245	0.000151366078861727	3
frecuencia_respiratoria	0.0167592857568835	0.0151812508391519	0.0118443956709301	4
edad	0.0134601305945527	0.0151011352372053	0.0103685764020283	5
progr_imagerad_perc	0.0126331515459679	0.0108627605166882	0.00722773026564747	6
rf_025_011	0.0114974482083308	0.00220147415621936	0.00162718534776357	7
rf_015_005	0.0107967374580313	0.000192230815001826	0.000151366078861727	8
saturacion	0.0106832598235366	0.0149562626809024	0.0117687126314993	9
rf_043_005	0.0105229579380383	0.000375776853946868	0.000227049118292591	10
rf_049_017	0.01015946836408	0.00473876936781563	0.00344357829410429	11
antibioticos_rank	0.0100468731157384	0.00684124290569642	0.00870354953454931	12
peso_rank	0.00992650997521404	0.00401685464398145	0.00457882388556724	13
rf_005_013	0.00958005289813381	0.00106478851681424	0.00102172103231666	14
canarito78	0.00952305207240843	0.00975510184692254	0.0103307348823129	15
canarito62	0.00940415724397271	0.0085551747174395	0.0101793688034511	16
igg_rank	0.009390666132514	0.00781326752254843	0.00904412321198819	17
paciente_id	0.00936105335430371	0.00741105747436162	0.00787103610080981	18
otra_medicacion_rank	0.00889156592822291	0.00677838028168809	0.00722773026564747	19
canarito48	0.00870909466919643	0.0126913138862546	0.011390297434345	20
canarito25	0.00853849089281637	0.00855721476550653	0.00870354953454931	21
severidad_ins_rank	0.00849558240073595	0.00636136531324341	0.00688715658820858	22
canarito28	0.00838306882496596	0.00827178289738526	0.0102172103231666	23
canarito65	0.00827000141549642	0.0104242958999959	0.0100658442443049	24
canarito64	0.00804400923353487	0.011497594331604	0.0107848331188981	25
canarito26	0.00801859676129778	0.0113558109909455	0.0100280027245894	26
vni_rank	0.00792027284452829	0.00453018902473375	0.00597896011503822	27
canarito34	0.00789075132806317	0.00496343694708322	0.0057140694770302	28
sat_aire_ambiente	0.00781078863993254	0.00706110180023459	0.0047680314841444	29
canarito29	0.00780888895027508	0.00815984254559296	0.00885491561341104	30
enf_otras_rank	0.00780708419936749	0.0106287378598561	0.00927117233028078	31
canarito4	0.00764489058654795	0.00850242490313488	0.00885491561341104	32
canarito41	0.0075093705410157	0.010134871366372	0.00991447816544312	33
arm_rank	0.00737540041182412	0.00902872816088472	0.00760614546280179	34
rf_034_013	0.00715333685285787	0.000415004063921467	0.000302732157723454	35
durac_finis_finter_rank	0.00695108531688836	0.0132306151645458	0.010255051842882	36
canarito15	0.00689395817690159	0.0126068850398233	0.0100280027245894	37
fini_sintomas	0.00671031357281873	0.0141769060322094	0.0116930295920684	38
sexo_rank	0.00670944652363863	0.00601100162950297	0.00692499810792401	39
canarito58	0.00668893851309508	0.00735856995195133	0.00718988874593204	40
canarito11	0.00668413604600083	0.00763936799660606	0.00787103610080981	41
canarito46	0.00667577346722798	0.00985337387666575	0.00847650041625672	42
durac_finis_finter	0.00665234284483344	0.00333952954218378	0.00340573677438886	43
rf_004_012	0.00652840228536393	0.00362837120493137	0.00245969878150307	44
canarito97	0.00651130373223032	0.00439333094297987	0.00567622795731477	45
canarito79	0.00648131161507185	0.00594207714838118	0.00594111859532279	46
uti_rank	0.00640399880605392	0.00455478617571336	0.00582759403617649	47
canarito95	0.00636627626813863	0.00787286606964952	0.00760614546280179	48
canarito30	0.00621794551546005	0.00751862629458172	0.00927117233028078	49
canarito8	0.00620172762242419	0.00680918500750024	0.00700068114735488	50
rf_036_006	0.00619063393146246	0.00873918705308558	0.00552486187845304	51
canarito83	0.00614041847184855	0.00859247845352233	0.00745477938394006	52
canarito7	0.00609253110937812	0.0116739710587707	0.00953606296828881	53
oxigeno_supl_rank	0.00606027609438469	0.00513975538716222	0.00624385075304624	54
canarito91	0.00600255774026925	0.00492193654069108	0.00692499810792401	55
enf_renal_rank	0.00600073705180368	0.00552086550962718	0.00597896011503822	56
canarito57	0.00599485154267202	0.00424274625208926	0.00465450692499811	57
corticoides_rank	0.00599176529159656	0.00803746880511499	0.00768182850223265	58
canarito49	0.00598716362616798	0.00537258315869793	0.00616816771361538	59
rf_012_009	0.00592342533475933	0.00050666050921873	0.000567622795731477	60
rf_013_010	0.00591819092404121	0.000183633469576486	0.000151366078861727	61
enf_coronaria_rank	0.0057948878241988	0.0044407474887664	0.00590327707560736	62
temperatura	0.00565580749426953	0.00735087605638425	0.00749262090365549	63
canarito68	0.0056464501845617	0.00632368271109099	0.00745477938394006	64
canarito23	0.00562315592437248	0.00448218960807092	0.00548702035873761	65
canarito3	0.00561802025728382	0.00400129199158439	0.00484371452357527	66
imc	0.00560829528682748	0.0112500199268981	0.00949822144857337	67
canarito36	0.00559704915439432	0.00422957337028502	0.00578975251646106	68
frecuencia_cardiaca_rank	0.00556916005415723	0.00304902669743875	0.00336789525467343	69
canarito35	0.00551132809374671	0.00951629964890481	0.00885491561341104	70
canarito86	0.0054933610448643	0.00487723034447931	0.0048815560432907	71
canarito18	0.00539401183621176	0.00330263381571436	0.00438961628699009	72
finternacion	0.00538262049900029	0.00141920315314492	0.00196775902520245	73
canarito53	0.00538019475661705	0.00405745160051534	0.0048815560432907	74
canarito69	0.0053718706875349	0.00453438569504307	0.0056005449178839	75
antic_monoclonales_rank	0.00528177757726719	0.00991824740519729	0.00832513433739499	76
canarito22	0.00525162828306535	0.00630899436500837	0.00696283962763945	77
canarito27	0.00521826379412058	0.00525609641407054	0.00681147354877772	78
canarito51	0.00510336001042111	0.0067799831765979	0.00650874139105427	79
canarito5	0.00506435740000974	0.0045110708599913	0.00507076364186786	80
canarito61	0.00504813315167821	0.00575879340133047	0.00548702035873761	81
canarito50	0.00502683623913323	0.00529313785825903	0.00601680163475365	82
canarito56	0.00496856763919496	0.00522937178439245	0.00677363202906229	83
sat_aire_ambiente_rank	0.00494272355685446	0.00660911457921225	0.0064330583516234	84
canarito84	0.00489451653890985	0.00693170446569728	0.00673579050934686	85
canarito94	0.00488096261517425	0.00516376966726554	0.00658442443048513	86
rf_030_004	0.00486228442146558	0.00237132272957149	0.00151366078861727	87
durac_fdiag_finis_rank	0.00485457544291434	0.00665822145054004	0.00650874139105427	88
canarito90	0.00485438208408255	0.00512078294013884	0.00510860516158329	89
canarito60	0.0048222722730581	0.00459931751066224	0.00582759403617649	90
canarito20	0.0048126387365968	0.00465859547878136	0.00491939756300613	91
fdiag_covid	0.00478960849592269	0.00537363232627526	0.0057140694770302	92
canarito88	0.00475767180690608	0.00487099362610296	0.00597896011503822	93
fini_sintomas_rank	0.00473349607246565	0.00529689737541113	0.00461666540528268	94
