Feature	Gain	Cover	Frequency	pos
edad	0.0584832845580313	0.0244818541424065	0.0176292177429546	1
saturacion	0.0476915465519589	0.028284785342007	0.019524832554025	2
ldh	0.0373496315641518	0.0207425248721567	0.0185770251484898	3
edad_rank	0.0230110009538265	0.020945972037471	0.0140907367622899	4
saturacion_rank	0.0209038409337235	0.00839821997556856	0.00865664097055478	5
sat_aire_ambiente	0.0198159154249502	0.0094540712592461	0.00663465183874637	6
enf_otras_rank	0.0124661591712795	0.0159414680530175	0.0127638063945406	7
paciente_id	0.0122130869995774	0.0138230991343718	0.00979400985719702	8
sexo_rank	0.0114411235135064	0.00636172372684789	0.00707696196132946	9
canarito78	0.0111830281827555	0.00775978104344496	0.00770883356501959	10
canarito101	0.0109566442473211	0.013821518962214	0.0128269935549096	11
frecuencia_respiratoria_rank	0.010875802690477	0.0077830392023923	0.00739289776317452	12
uti_rank	0.010663772850336	0.00903626386465272	0.00935169973461393	13
canarito45	0.0105004928147147	0.00952246308545008	0.0109945659042083	14
sat_aire_ambiente_rank	0.00982047627012908	0.00481878437553424	0.00606596739542525	15
frecuencia_respiratoria	0.00971473498411975	0.012013209449153	0.00903576393276886	16
durac_fdiag_finter_rank	0.00966211299191407	0.0113732397252515	0.0104258814608871	17
canarito65	0.0094992497983895	0.0145238561059679	0.0115632503475294	18
progr_imagerad_perc	0.00945770651809019	0.00327179583306627	0.00265386073549855	19
progr_imagerad_perc_rank	0.00912305617107693	0.00712455183601684	0.0092253254138759	20
canarito38	0.00892112068764586	0.0105928322008272	0.00947807405535195	21
canarito56	0.00857070004988612	0.0107412202425189	0.00935169973461393	22
progr_image_rad_rank	0.00848254808715068	0.00287966623603683	0.00315935801845065	23
enf_hepatica_rank	0.00798620192509654	0.00548620959067714	0.00612915455579426	24
severidad_ins_rank	0.00792934387191337	0.00608578616379531	0.00663465183874637	25
arm_rank	0.00783817794222114	0.00750176855830722	0.00789839504612663	26
canarito22	0.00758305178499409	0.00630286231397053	0.0077720207253886	27
antibioticos	0.00757746423763501	0.00166416818404344	0.00240111209402249	28
canarito23	0.00728932065497019	0.0123024303344069	0.0113736888664223	29
antibioticos_rank	0.00725050540508448	0.00757830814719975	0.00732971060280551	30
fini_sintomas	0.00710485113473823	0.00657129405927364	0.00644509035763933	31
canarito88	0.00703517202556072	0.00958808961037794	0.00916213825350689	32
otra_medicacion_rank	0.0069664909527375	0.00562319076460482	0.00638190319727032	33
canarito63	0.00689637258770596	0.00750887933301723	0.00751927208391255	34
ig_total_rank	0.0067868707963759	0.0102535889907036	0.00853026664981676	35
canarito61	0.00668372177015079	0.00479024251593431	0.00695058764059143	36
canarito19	0.00664771460746829	0.00596579184056379	0.00625552887653229	37
enf_pulmonr_rank	0.00649561843995673	0.00433228887245729	0.0058132187539492	38
canarito47	0.00645512894715593	0.00398470037812532	0.00492859850878302	39
canarito36	0.00626510750854949	0.00696223852718474	0.00701377480096045	40
canarito7	0.00624568260890329	0.00783676505575687	0.00821433084797169	41
canarito34	0.00608492815657063	0.00683982456533661	0.0072665234424365	42
temperatura	0.00606258209367007	0.00371760190308034	0.00587640591431821	43
canarito29	0.00605967884759463	0.00921971197609516	0.00897257677239985	44
corticoides_rank	0.00605815157481498	0.00545179146586547	0.00682421331985341	45
canarito25	0.00604108686945323	0.00794273535108808	0.00701377480096045	46
